	CH573701	CH573801	CH573901	CH574001	CH574101	CH574401	CH574601	CH574801	CH575001	CH575101	CH575201	CH575301	CH575401	CH576201	CH576301	CH576401	CH576501	CH576601	CH576701	CH576711
ENSG00000143578	7489	3918	3166	2503	3867	7977	4149	4450	2191	1557	2492	3391	6072	3301	4707	1623	4344	5011	7349	6665
ENSG00000143590	321	138	90	261	182	384	288	153	141	305	968	69	410	161	126	75	674	622	124	320
ENSG00000143595	0	3	0	0	1	6	5	7	0	0	0	0	1	3	10	0	6	28	2	15
ENSG00000143603	79	109	67	14	3	59	50	28	34	125	107	21	309	65	83	27	42	59	37	89
ENSG00000143612	13652	12097	12612	9225	12446	25071	13283	11481	9070	9426	20051	10063	23045	10219	7921	6101	15011	14063	16765	14734
ENSG00000143614	1693	2054	2001	1357	1358	3737	3039	1984	1666	2511	3449	2202	4048	2105	1621	1082	2404	3094	1978	3574
ENSG00000143621	8838	9511	6537	4891	7503	16847	9684	8024	7057	6606	11755	6676	16462	6841	6662	3628	9886	10136	8125	9707
ENSG00000143622	915	1728	1228	749	1041	2048	1606	938	761	1209	1762	1218	2682	1239	1334	555	1556	1892	1012	2420
ENSG00000143624	4130	5313	3525	2542	2913	6540	6430	5223	4343	5463	7560	4556	8256	4578	4151	2405	4147	5504	4060	8860
ENSG00000143627	4	2	0	3	0	4	1	0	0	5	1	3	2	0	2	0	2	5	4	4
ENSG00000143630	148	174	158	73	78	301	160	114	98	139	238	134	382	114	117	66	184	130	137	278
ENSG00000143631	143	160	22	79	0	39	11	60	213	21	371	75	139	27	217	66	46	386	33	144
ENSG00000143632	18	64	13	6	11	42	84	11	15	2	11	80	17	62	19	48	15	23	18	230
ENSG00000143633	263	833	653	561	516	1062	909	622	455	386	1149	362	946	575	384	180	754	670	461	808
ENSG00000143641	3731	6619	5437	2483	2085	9164	5401	5123	3617	3105	5274	2884	10711	5487	3657	1381	3296	5641	5194	7543
ENSG00000143643	243	617	548	343	370	717	551	485	412	661	674	711	1297	610	379	170	608	781	601	678
ENSG00000143653	6348	4774	4276	2144	5117	11630	4999	5771	3616	2771	3930	5795	7563	3917	4288	2446	8469	6319	7519	7794
ENSG00000143669	825	1846	1266	285	389	1240	1366	1448	1135	2215	1226	1261	1835	1444	1725	597	1161	1529	1131	3050
ENSG00000143674	215	569	435	225	506	584	611	360	303	425	1164	556	757	687	284	254	1175	488	530	789
ENSG00000143702	1275	2215	1890	599	869	1911	1639	1076	1244	2205	4577	2157	2989	1720	1473	811	2174	1932	821	2094
ENSG00000143727	4533	4622	5216	3572	3230	6802	5004	4674	2897	3026	4495	4209	8288	4336	3232	2246	5227	5209	5331	4942
ENSG00000143740	1527	1664	1488	1187	1246	3355	2099	1543	1025	1285	2179	1498	3675	1463	1059	528	2169	2040	1500	2379
ENSG00000143742	5957	9731	9248	7189	9778	17356	12010	9708	6357	7648	11462	9155	13936	9028	8842	5542	12319	14689	10250	12606
ENSG00000143748	801	1115	1306	1312	5274	5647	1413	1435	1034	1559	4701	1170	3835	1074	977	711	1398	2590	974	1452
ENSG00000143751	893	2752	2296	905	1316	4198	1922	1432	1187	1688	2891	2931	3496	2440	2210	1119	2301	3248	2225	3669
ENSG00000143753	7736	6575	5775	4842	37496	33511	8101	11256	6901	12033	22663	5810	30197	5824	9468	4272	6735	28433	10741	7971
ENSG00000143756	1874	3344	2960	1873	3532	5145	3570	3471	2107	3013	7116	3489	5533	3443	2791	1865	3714	6591	3186	4256
ENSG00000143761	27925	31979	26341	20925	34117	78314	34318	31648	19101	16428	32051	27644	60736	22043	21308	7858	37858	43141	43275	39716
ENSG00000143768	10	20	36	9	6	34	6	9	7	29	114	8	171	7	138	4	7	14	11	41
ENSG00000143771	812	1372	1009	758	1412	2045	1439	1019	784	1006	1520	762	2083	1213	1071	428	1176	1761	1349	2199
ENSG00000143772	2921	5034	4489	2768	3072	9661	6898	3602	2760	2741	2141	3662	9024	5241	4487	2672	6503	6500	5209	7134
ENSG00000143774	4291	5482	4073	3856	4468	11689	4978	4487	3180	2880	5696	2871	12282	3577	3671	1214	3737	6240	6792	7797
ENSG00000143776	3269	5025	4003	2157	4070	9243	5598	4330	2703	3855	8924	6701	9660	5108	5084	2192	5290	7448	3618	7182
ENSG00000143786	42	96	18	26	31	47	32	29	13	27	17	29	51	48	68	12	15	61	40	108
ENSG00000143793	493	662	560	434	720	1279	749	486	372	403	422	483	1405	467	337	126	610	789	531	850
ENSG00000143797	7464	4704	10826	1991	4614	7463	6121	8231	4879	9250	17782	6200	10062	3080	3348	3670	7491	4480	11410	3151
ENSG00000143799	4239	11403	9785	6971	8840	23103	11213	8614	6937	8128	17281	10083	23879	9772	8862	6257	12477	15637	7395	12177
ENSG00000143801	1487	1914	1437	990	2281	5029	2363	1635	951	763	1632	1898	4538	1501	1465	1026	1875	2771	1573	2774
ENSG00000143811	1981	3971	2869	2365	3484	9593	3766	2386	2060	1616	3127	2336	6991	2375	3101	1253	3690	3991	2987	5184
ENSG00000143815	1018	5241	5099	2160	2812	5062	4341	1972	2777	5943	7869	4691	4864	3421	3122	1889	3981	3875	2131	4768
ENSG00000143816	15	57	49	4	13	124	48	9	5	8	28	51	117	23	19	15	46	31	12	35
ENSG00000143819	3676	6648	6847	3584	15852	22932	7650	3684	3072	3716	5205	3765	27509	5771	5954	3838	9660	10075	11625	15847
ENSG00000143842	2434	2817	3254	1311	2361	3745	3418	2615	1430	1612	2305	2547	4965	2076	1861	1163	3635	2711	2284	5613
ENSG00000143845	792	638	288	304	216	651	535	254	186	350	233	167	875	478	1068	165	323	407	192	1550
ENSG00000143847	18	13	21	8	1	18	17	8	29	93	30	7	38	10	11	9	18	22	17	34
ENSG00000143850	3413	3952	3021	1688	948	5772	3220	3080	1514	1150	851	2331	2688	1868	2568	1264	1023	3008	5907	5861
ENSG00000143851	74	306	150	94	23	285	109	92	236	810	67	125	1158	249	117	60	50	221	56	310
ENSG00000143858	27	29	27	12	8	56	41	26	46	15	28	51	87	43	31	15	19	49	26	146
ENSG00000143862	3452	2390	1732	1458	2865	6197	2795	1890	1590	1978	2723	2240	5701	1955	2173	895	3474	4125	2638	3460
ENSG00000143869	1	31	18	8	1	24	14	9	31	6	5	11	45	53	48	10	0	11	2	23
ENSG00000143870	22668	26210	18902	13569	23335	52611	24585	22532	18496	9238	20849	16161	52678	18010	17524	8719	23121	31400	29500	21088
ENSG00000143878	50490	41541	23002	6106	11912	89378	17614	4604	9830	4121	11487	43485	58591	27525	22611	6641	13094	26647	47744	81338
ENSG00000143882	150	177	106	126	119	352	229	144	135	99	171	601	491	170	171	62	161	216	248	266
ENSG00000143889	1466	2476	1662	1363	1275	2692	2224	1765	1392	1561	2453	2102	3138	1915	1948	888	2578	2411	1878	2763
ENSG00000143891	870	1216	581	773	170	495	1396	1909	699	581	167	383	1249	1043	1070	237	273	613	553	2012
ENSG00000143919	271	163	85	162	236	355	180	132	75	119	310	69	586	116	81	60	188	145	198	306
ENSG00000143921	0	1	0	0	3	1	1	0	0	0	1	0	1	2	0	0	1	1	0	0
ENSG00000143924	2670	6649	6320	3324	2043	7414	5586	4268	3278	3917	5815	3411	8463	5032	2566	2099	4986	5008	2316	4643
ENSG00000143933	15259	14482	10753	10368	7861	28893	15616	12200	8065	8044	22811	9560	26266	12032	11995	5623	12669	12155	17940	20619
ENSG00000143942	291	69	97	88	33	105	107	88	100	201	320	68	371	65	38	27	48	184	189	173
ENSG00000143951	179	256	230	132	134	239	172	153	107	189	260	148	354	196	134	93	230	237	159	264
ENSG00000143952	2494	5884	4386	1727	2370	4121	4635	5105	3334	3780	3209	5439	3952	3190	4231	1877	6658	3427	3748	4187
ENSG00000143954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143970	1138	2103	862	561	396	1842	2169	1630	1260	1859	2757	1938	2707	2297	1575	1290	2248	2675	1231	2498
ENSG00000143971	747	815	985	610	673	806	1015	820	591	764	1345	561	1084	768	493	256	1009	975	654	1252
ENSG00000143977	1325	1506	1090	1021	1555	2882	1637	1082	946	1101	1539	1177	3141	1035	1054	382	1382	1613	1081	1896
ENSG00000143994	348	68	40	130	131	161	118	168	119	21	155	73	92	21	85	15	27	212	545	123
ENSG00000143995	106	1214	1042	312	298	620	927	443	225	243	634	230	735	1006	1269	368	610	497	524	3915
ENSG00000144015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144021	3874	5065	4558	2941	3179	6987	5378	4206	2870	3252	5863	3720	7886	3834	3125	2056	4558	4510	4387	5740
ENSG00000144026	353	635	563	318	292	797	1123	565	425	721	888	523	1007	852	379	316	1157	937	404	1159
ENSG00000144028	11561	17252	16386	9403	10178	31166	19834	14325	11484	17404	20729	14391	33511	14909	13581	8479	18620	16699	12712	22467
ENSG00000144029	1911	2127	1751	1631	1527	3218	2401	1890	1545	1493	2475	1767	4811	1497	1185	888	2511	2110	1741	2607
ENSG00000144031	13	36	14	6	4	35	28	6	9	2	10	6	16	21	24	11	7	24	9	117
ENSG00000144034	846	836	781	522	780	977	955	635	536	573	810	634	1268	650	554	262	971	739	958	1220
ENSG00000144035	61	1	30	49	4	3	7	7	1	2	4	5	12	2	8	1	6	7	2	8
ENSG00000144036	402	600	551	164	245	568	534	443	352	558	679	666	772	546	642	197	654	687	455	792
ENSG00000144040	1847	1107	694	709	1401	4100	1363	1057	639	220	2111	450	2781	647	704	207	1611	1764	953	1400
ENSG00000144043	8192	6182	5839	4464	4427	12817	7324	7627	4395	5178	7289	5153	11079	5687	5943	2082	6690	8423	10411	9279
ENSG00000144045	0	2	2	0	11	10	2	3	2	5	148	0	13	7	6	2	9	96	1	27
ENSG00000144048	1324	1560	1383	862	1109	1739	1487	1121	1012	1009	1339	1231	2017	1303	1158	410	1810	1464	1063	2290
ENSG00000144057	788	85	69	95	98	597	153	35	18	27	24	44	1518	41	268	52	369	122	32	210
ENSG00000144061	294	305	216	205	162	376	301	185	105	102	222	175	376	232	209	114	259	347	119	503
ENSG00000144063	5565	2218	1064	1217	1391	9760	1505	1186	534	887	583	1132	6671	1147	2716	696	1748	4133	1032	5988
ENSG00000144115	4777	1461	1770	2206	1984	1931	4209	54	835	418	1664	2085	3477	567	1387	344	1109	1019	3062	3704
ENSG00000144118	5113	6007	3450	3107	2197	9115	4526	4795	2900	2666	2253	4330	7870	3203	5137	2069	5969	5008	2331	6257
ENSG00000144119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000144120	506	564	411	307	349	648	679	447	227	306	623	388	1083	431	198	216	562	479	217	508
ENSG00000144136	1280	1761	1259	872	895	2715	1523	1086	1137	2003	3447	1274	3112	1212	1613	562	1155	2437	881	2853
ENSG00000144152	333	270	391	59	477	1214	361	331	107	241	215	177	841	270	219	175	578	423	268	512
ENSG00000144161	320	496	505	365	290	362	496	517	447	513	582	414	569	457	269	186	469	423	236	504
ENSG00000144182	481	601	533	307	419	1312	572	334	348	188	442	643	422	694	425	245	308	444	616	762
ENSG00000144191	2	0	3	0	0	2	0	0	1	1	4	0	17	0	3	0	0	4	2	2
ENSG00000144199	16	346	132	315	436	548	254	88	179	219	631	230	945	336	258	169	437	388	57	582
ENSG00000144214	8	12	3	7	12	19	36	5	15	1	11	36	41	9	6	3	7	12	5	41
ENSG00000144218	4904	3045	1808	1431	952	2541	6172	9595	1866	2935	7836	1981	4557	2817	2252	1410	2774	6324	11670	4630
ENSG00000144224	10100	14469	13360	7430	9367	18175	13899	11645	7774	8936	15798	14110	19197	10308	9779	5506	16087	14894	6833	14317
ENSG00000144227	0	0	1	0	5	4	2	0	0	1	3	0	15	1	2	0	0	0	0	0
ENSG00000144228	1975	3232	3334	2197	3416	3889	3391	2682	2064	2712	3880	3789	3945	3526	2553	1863	5435	3811	407	3474
ENSG00000144229	13	82	83	238	92	115	254	27	25	69	32	16	122	105	277	34	22	150	5	55
ENSG00000144230	8	9	27	4	2	18	17	25	11	37	25	17	32	16	19	6	11	6	8	53
ENSG00000144231	1240	1772	1475	837	997	3265	1727	1371	1281	1556	2158	1707	2917	1812	970	707	1444	1774	966	1789
ENSG00000144233	1597	2049	1662	1057	1293	3291	2144	1790	1237	1431	2967	2071	3069	2141	1556	872	1969	2353	1099	2933
ENSG00000144278	0	76	25	4	215	12	21	9	11	14	255	3	23	54	140	7	31	9	243	19
ENSG00000144283	5179	4732	4054	2456	3090	6216	5492	3903	3197	3707	5267	5592	8486	4056	3176	2229	5823	6462	4351	8150
ENSG00000144285	4	2	1	2	0	0	0	6	563	2117	4	0	3	1	2	0	1	0	0	1
ENSG00000144290	2	23	2	11	4	10	13	5	28	45	1	18	11	77	34	8	31	99	1	18
ENSG00000144306	824	1370	1261	938	1256	1414	1720	1344	599	770	2262	1240	2240	1150	967	705	1387	1613	1173	1510
ENSG00000144320	1405	2058	1825	925	1079	2093	2076	1811	1309	1868	3392	2075	3234	1944	1624	1060	2492	3104	2176	2344
ENSG00000144331	19	3446	1003	3021	574	1010	1268	1976	4711	1249	9331	3912	1077	3477	3334	381	5254	442	80	320
ENSG00000144339	60776	5655	2701	6423	45338	99711	21188	11106	1328	3796	41526	10360	5166	3046	1505	5930	340	39168	76865	536
ENSG00000144354	16	820	306	265	26	138	615	343	362	1231	181	39	521	460	265	67	183	134	18	563
ENSG00000144355	1457	1525	787	1728	2612	4308	1820	765	1634	1011	1167	2657	5677	2061	418	737	2803	2354	1037	3
ENSG00000144357	4457	5682	5688	2970	3805	7348	6046	5260	3045	3662	8352	6028	9255	4782	4582	1598	6742	6672	5727	6212
ENSG00000144362	464	779	555	355	821	1147	706	397	398	196	732	719	965	547	496	241	965	472	538	601
ENSG00000144366	1381	3177	2049	2886	1818	4167	3426	1945	1567	861	1563	2980	1866	2301	2673	1370	3233	2105	1915	3067
